Disease	Unique PubMed IDs	Triplets
loeys_dietz_syndrome	34	140
donnai-barrow_syndrome	3	20
camurati_engelmann	11	32
sickle_cell	974	3924
celiac_disease	1421	5617
canavan_disease	20	78
milroy_disease	2	5
chediak_higashi_syndrome	42	156
propionic_acidemia	40	171
hypochondroplasia	13	48
marfan_syndrome	126	506
huntington_disease	101	467
apert_syndrome	41	193
citrullinemia	42	192
brugada_syndrome	24	74
wilson_disease	215	895
lesch_nyhan_syndrome	33	124
noonan_syndrome	106	392
alkaptonuria	27	78
stickler_syndrome	24	94
