Disease	Unique PubMed IDs	Triplets
loeys_dietz_syndrome	34	141
donnai-barrow_syndrome	3	20
camurati_engelmann	13	42
sickle_cell	1858	7236
celiac_disease	1842	6899
canavan_disease	38	142
milroy_disease	2	15
chediak_higashi_syndrome	42	173
propionic_acidemia	47	195
hypochondroplasia	13	41
marfan_syndrome	142	588
huntington_disease	216	924
apert_syndrome	47	219
citrullinemia	46	197
brugada_syndrome	26	87
wilson_disease	236	1047
lesch_nyhan_syndrome	46	166
noonan_syndrome	114	431
alkaptonuria	35	127
stickler_syndrome	26	112
